                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2629,                 3.2792,                 2.0632,                0.22632,                0.19223,                 0.1128,                0.03955,                 2.2137,                 2.9031,                 2.2131,             0.00055514,             0.00055514,             0.00055514
                      1,                 2.1917,                 2.7168,                 1.9881,                0.34885,                  0.171,                0.13856,                0.04844,                 2.2232,                  2.767,                 2.1224,              0.0010741,              0.0010741,              0.0010741
                      2,                 2.1418,                 2.5908,                 1.9748,                0.27076,                0.17176,                 0.1437,                0.05962,                 2.1335,                 2.6724,                 2.0756,              0.0015565,              0.0015565,              0.0015565
                      3,                 2.1092,                  2.516,                  1.951,                0.40306,                0.23822,                0.21313,                0.08114,                  2.028,                 2.3862,                 1.9579,               0.001502,               0.001502,               0.001502
                      4,                  2.052,                 2.4321,                 1.9127,                0.70808,                0.15745,                 0.1848,                0.08154,                 1.9645,                 2.3123,                 1.9173,               0.001502,               0.001502,               0.001502
                      5,                 2.0184,                  2.371,                 1.8688,                 0.3849,                0.25062,                  0.242,                0.09542,                 2.0104,                 2.2809,                 1.9672,               0.001447,               0.001447,               0.001447
                      6,                 2.0006,                 2.3038,                 1.8567,                 0.4289,                0.26518,                0.24913,                0.11233,                 1.8923,                 2.1901,                 1.8622,              0.0013919,              0.0013919,              0.0013919
                      7,                 1.9674,                 2.2553,                  1.843,                0.37829,                0.28054,                 0.2723,                0.11584,                 1.9045,                 2.1363,                 1.8568,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.9283,                 2.2023,                 1.8068,                  0.446,                0.33586,                0.29297,                0.12932,                 1.8725,                 2.1484,                 1.8202,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.8983,                 2.1743,                 1.7943,                 0.3891,                0.31269,                0.25833,                0.10707,                 1.9102,                  2.156,                  1.868,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.8825,                 2.1221,                 1.7638,                0.41587,                0.34686,                0.30961,                0.13941,                 1.8497,                 2.0536,                 1.7942,              0.0011719,              0.0011719,              0.0011719
                     11,                 1.8752,                 2.0987,                 1.7624,                0.56235,                0.31614,                0.29293,                0.13061,                 1.8446,                  2.136,                 1.7918,              0.0011169,              0.0011169,              0.0011169
                     12,                  1.845,                 2.0998,                 1.7339,                0.52651,                0.33712,                0.33974,                0.15411,                 1.8365,                 1.9664,                 1.7914,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.8402,                 2.0737,                 1.7361,                0.39013,                0.35963,                0.31844,                0.14116,                 1.8265,                 1.9976,                 1.7759,              0.0010069,              0.0010069,              0.0010069
                     14,                 1.8309,                 2.0361,                 1.7299,                0.35887,                0.37268,                0.32389,                0.14878,                 1.8183,                 2.0069,                 1.7706,             0.00095186,             0.00095186,             0.00095186
                     15,                 1.8135,                 1.9832,                 1.7163,                0.44265,                0.37489,                0.36359,                0.17379,                 1.7595,                 1.8769,                 1.7401,             0.00089685,             0.00089685,             0.00089685
                     16,                 1.7987,                  1.987,                 1.7011,                0.47282,                0.39241,                 0.3756,                0.17034,                 1.7622,                 1.9107,                 1.7292,             0.00084184,             0.00084184,             0.00084184
                     17,                 1.8009,                 1.9753,                 1.7026,                 0.4607,                0.41939,                0.38165,                  0.176,                 1.7523,                 1.8793,                 1.7063,             0.00078682,             0.00078682,             0.00078682
